[enu default]

////////////////////
// MIDDLEBOSS1SCENE //////
////////////////////
// Introduction
MIDBOS1LINE1= "M16: WHAT THE HELL?";
MIDBOS1LINE2= "M16: WHAT THE HELL IS THIS PLACE?";
MIDBOS1LINE3= "M16: HELLO?";
MIDBOS1LINE4= "M16: OHSHIT";
SCEN6LINE1= "M16: BLAH BLAH BLAH";

// Found Sprite
SCEN6LINE22= "Good, you found your sprite.";
SCEN6LINE23= "> Seiga: Prototype sprite.";
SCEN6LINE24= "You heard they were attracted to dead things so it's no surprise that they came in here. However, the last thing you'd want is to have it go for the bottles as that would probably render it useless to you.";
SCEN6LINE25= "So...";
SCEN6LINE25a= "you decide to try this instead.";
SCEN6LINE26= "! ! ! !";
//Wu
SCEN6LINE27= "WUDANGSPRITE: A G H H H H . . . .\nW H H H H A A A A T . . . .\nN N N N G G G G H H H H . . . .\nA A A A H H H H . . . . ";
SCEN6LINE28= "WUDANGSPRITE: A A A A ! ! ! !\nN N N N O O O O. . .\nG G G G H H H H. . .";
//Seiga_6
SCEN6LINE29= "VH: Okay, this definitely wasn't what I was expecting!!";
SCEN6LINE30= "> Seiga: Complain to idiot server player.";
//Seiga_5
SCEN6LINE31= "VH: Hey, idiot server player, why don't you actually try and help?";
//Mamz_2
SCEN6LINE32= "BH: lmao";
//Seiga_5
SCEN6LINE33= "VH: Don't \"lmao\" at me! What is it even saying? It just keeps rattling on about I don't even know what!";
//Mamz_1
SCEN6LINE34= "BH: pft i think its mad at yalls for beatin it up all these years";
//Seiga_6
SCEN6LINE35= "VH: It's a training mannequin! That's what it's FOR.";
//Mamz_1
SCEN6LINE36= "BH: oh well you want me to tone it down for you or somethin?";
//Seiga_6
SCEN6LINE37= "VH: What are you planning to doâ¦?";
//Mamz_1
SCEN6LINE38= "BH: wait right here";
//Seiga_5
SCEN6LINE39= "VH: Oh, no! No, no no! I know what you're trying to do!";
SCEN6LINE40= "> Seiga: Brace self.";
//Seiga_5
SCEN6LINE41= "SEIGA: Seriously!?";
//Embryo
SCEN6LINE42= "EMBRYOSPRITE: Waaaaaaaaaaaaaah!!\nNooooooooooooo!!";
//Seiga_6
SCEN6LINE43= "SEIGA: Are you kidding me!?";
//Embryo
SCEN6LINE44= "EMBRYOSPRITE: I don't wanna do thiiiiiiiiiiiiiis!!";
//Seiga_5
SCEN6LINE45= "SEIGA: Aaaarghhhh!";
SCEN6LINE46= "> Seiga: Complain some more.";
//Seiga_6
SCEN6LINE47= "VH: Youâ¦ ass.";
//Mamz_2
SCEN6LINE48= "BH: ahahahahahaha wow i reckon that woulda shut it up but i guess i was wrong";
//Seiga_6
SCEN6LINE49= "VH: You'll pay for this.";
//Mamz_3
SCEN6LINE50= "BH: ye ye youre mighty used to bein paid huh if you get my drift\n\n[*wink]";
//Seiga_4
SCEN6LINE51= "VH: Unbelievable. Fine, you know what? I'm just gonna replace this with something else later!";
SCEN6LINE52= "> Seiga: Be stuck with this crybaby noob.";
SCEN6LINE53= "Looks like you're stuck with this crybaby noob.";


// Examine Computer, after Blue Seed
//Mamz_6
SCEN6LINE54= "BH: yo hurry up and do some lifey thing on that seed or whatever, i dont wanna be in trouble if you end up dead";


